분석구역,총_공동주택_세대수,노인복지시설_개수,녹지시설_개수,빈집_개수,시급도_원점수,최종_그린리모델링_시급도점수
풍기읍,1362,2,52,105,241,100
이산면,0,0,0,71,213,95.2
단산면,0,0,0,58,174,88.6
안정면,0,3,14,57,156,85.5
하망동,1792,2,78,85,142,83.1
부석면,32,1,39,62,129.5,81
순흥면,0,1,25,42,90.5,74.4
상망동,1200,0,76,67,87,73.8
문수면,0,3,91,58,43.5,66.4
조와동,0,6,0,0,12,61
봉현면,0,2,44,23,7,60.1
순흥면지동,0,0,4,0,-6,57.9
조암동,0,0,8,0,-12,56.9
적서동,0,0,14,0,-21,55.4
고현동,0,0,14,0,-21,55.4
평은면,0,0,139,59,-31.5,53.6
영주동,951,3,128,46,-48,50.8
문정동,48,0,42,0,-63,48.2
장수면,0,1,164,60,-64,48
아지동,0,0,56,0,-84,44.6
상줄동,0,0,124,0,-186,27.3
휴천동,5175,3,277,71,-196.5,25.5
가흥동,3763,7,412,86,-346,0
